# Unified POJ Encoding Mappings
# Merged from Taiwanese Package (TP) and SinBongAi CTS (Tai-gi only)
# Excludes: Tai-lo (oo/OO) and Hakka (ii/II/ṳ/Ṳ)

====================================================================================================
## 1. TAIWANESE PACKAGE (TP) POJ MAPPINGS
====================================================================================================

### 1.1 TP POJ Numeric Format → Unicode
Standard numbering for Holo POJ used in the Taiwanese Package system.

Input      | Unicode Char(s)      | Description
u5         | û                    | LATIN SMALL LETTER U WITH CIRCUMFLEX
u7         | ū                    | LATIN SMALL LETTER U WITH MACRON
u8         | u̍                   | LATIN SMALL LETTER U + COMBINING VERTICAL LINE ABOVE
u9         | ŭ                    | LATIN SMALL LETTER U WITH BREVE
nn         | ⁿ                    | SUPERSCRIPT LATIN SMALL LETTER N
N          | ⁿ                    | SUPERSCRIPT LATIN SMALL LETTER N (TP variant)

### 1.2 TP POJ Font Hack (tws21.ttf) → Unicode
Mappings for legacy "Taiwanese Serif" font data.

Legacy Char| Unicode Char(s)      | POJ Code
-----------|----------------------|---------
ä          | ā                    | a7
ã          | a̍                   | a8
ë          | ē                    | e7
ç          | e̍                   | e8
„          | ī                    | i7
…          | i̍                   | i8
•          | ḿ                    | m2
–          | m̀                   | m3
—          | m̂                   | m5
˜          | m̄                   | m7
™          | m̍                   | m8
¡          | ń                    | n2
¢          | ǹ                    | n3
£          | n̂                   | n5
¤          | n̄                   | n7
ñ          | n̍                   | n8
ö          | ō                    | o7
õ          | o̍                   | o8
¬          | o͘                   | ou
¯          | ó͘                   | ou2
±          | ò͘                   | ou3
²          | ô͘                   | ou5
³          | ō͘                   | ou7
´          | o̍͘                  | ou8
ü          | ū                    | u7
ý          | u̍                   | u8
°          | ⁿ                    | nn

====================================================================================================
## 2. HOTSYS 2000 POJ MAPPINGS
====================================================================================================

### 2.1 HOTSYS POJ Numeric Format → Unicode
SinBongAi CTS specific variants for HOTSYS-based Holo POJ.

Input      | Unicode Char(s)      | Note
-----------|----------------------|-----------------------------------------
OU0        | O͘                   | Base Nasal O
OU2        | Ò͘                   | Tone 2 -> Grave (SWAP)
OU3        | Ó͘                   | Tone 3 -> Acute (SWAP)
OU4        | O͘                   | Base Nasal O
OU5        | Ô͘                   | Tone 5
OU7        | Ō͘                   | Tone 7
OU8        | O̍͘                  | Tone 8
OU9        | Ŏ͘                   | Tone 9

### 2.2 HOTSYS POJ Font Hack → Unicode
A different set of legacy mappings used in the HOTSYS system.
(Partial list from CTS_taigionly.php)

Legacy Char| Unicode Char(s)      | POJ Code
-----------|----------------------|---------
¡          | á                    | a2
…          | à                    | a3
ƒ          | â                    | a5
„          | ā                    | a7
›          | í                    | i2
¢          | ì                    | i3
Œ          | î                    | i5
‹          | ī                    | i7
Ÿ          | i̍                   | i8
ò          | ū                    | u7
‚          | é                    | e2
Š          | è                    | e3
ˆ          | ê                    | e5
‰          | ē                    | e7
˜          | e̍                   | e8
à          | ó                    | o2
•          | ò                    | o3
â          | ô                    | o5
ã          | ō                    | o7
£          | ó͘                   | ou2
¤          | ò͘                   | ou3
¥          | ô͘                   | ou5
¦          | ō͘                   | ou7
§          | o̍͘                  | ou8
Ê          | ḿ                    | m2
Ë          | m̀                   | m3
Ì          | m̂                   | m5
Í          | m̍                   | m8
Ç          | n̂                   | n5
È          | n̄                   | n7
É          | n̍                   | n8
Ý          | ú                    | u2
Ü          | ù                    | u3
á          | ū                    | u7
™          | u̍                   | u8
û          | Á                    | A2
ú          | À                    | A3
ñ          | Â                    | A5
Î          | Ā                    | A7
À          | Ì                    | I3
Ù          | Û                    | U5
³          | É                    | E2
´          | È                    | E3
Â          | Ē                    | E7
Ã          | E̍                   | E8
Ó          | Ó                    | O2
Ò          | Ò                    | O3
Ô          | Ô                    | O5
Õ          | O̍                   | O8
Ö          | Ō                    | O7
¬          | Ò͘                   | OU2
«          | Ó͘                   | OU3
°          | Ō͘                   | OU7
¯          | O̍͘                  | OU8
ª          | m̀                   | M3
±          | m̂                   | M5
²          | m̍                   | M8
Ú          | Ú                    | U2
Ä          | Û                    | U5
Û          | Ū                    | U7
Ñ          | U̍                   | U8
¨          | o͘                   | ou
œ          | O͘                   | OU
Á          | ⁿ                    | nn
†          | a̍                   | a8
å          | u̍                   | u8
ß          | o̍                   | o8
Þ          | m̄                   | m7
Å          | ń                    | n2
Æ          | ǹ                    | n3
‡          | û                    | u5
Ï          | A̍                   | A8
¼          | í                    | I2
½          | î                    | I5
¾          | ī                    | I7
¿          | i̍                   | I8
Ø          | ú                    | U2
×          | ù                    | U3
ÿ          | ū                    | U7
þ          | u̍                   | U8
µ          | ê                    | E5
­          | ô͘                   | OU5
®          | ḿ                    | M2
©          | m̄                   | M7
¹          | ń                    | N2
¸          | ǹ                    | N3
º          | n̂                   | N5
·          | n̄                   | N7
»          | n̍                   | N8
Ð          | ù                    | U3
