# Taiwanese Package (TP) 2.10 — Complete Encoding Mapping Data
# Source: https://taigu.fhl.net/TP/
# Author: Kiatgak (劉杰岳), Phahng Taiwanese Workshop
# Extracted from: Taiwanese210.exe
# Date: 2005/11/16


====================================================================================================
## 1. NUMBER FORMAT → UNICODE (Holo/POJ) Conversion Table — 112 entries
====================================================================================================
Number     | Unicode Char(s)      | Hex Codes                      | Description
Ou5        | Ô͘                  | U+004F U+0302 U+0358           | LATIN CAPITAL LETTER O + COMBINING CIRCUMFLEX ACCENT + COMBINING DOT ABOVE RIGHT
Ou5        | Ô͘                  | U+004F U+0358 U+0302           | LATIN CAPITAL LETTER O + COMBINING DOT ABOVE RIGHT + COMBINING CIRCUMFLEX ACCENT
Ou7        | Ō͘                   | U+014C U+0358                  | LATIN CAPITAL LETTER O WITH MACRON + COMBINING DOT ABOVE RIGHT
Ou7        | Ō͘                  | U+004F U+0304 U+0358           | LATIN CAPITAL LETTER O + COMBINING MACRON + COMBINING DOT ABOVE RIGHT
Ou7        | Ō͘                  | U+004F U+0358 U+0304           | LATIN CAPITAL LETTER O + COMBINING DOT ABOVE RIGHT + COMBINING MACRON
Ou8        | O̍͘                  | U+004F U+030D U+0358           | LATIN CAPITAL LETTER O + COMBINING VERTICAL LINE ABOVE + COMBINING DOT ABOVE RIGHT
Ou8        | O̍͘                  | U+004F U+0358 U+030D           | LATIN CAPITAL LETTER O + COMBINING DOT ABOVE RIGHT + COMBINING VERTICAL LINE ABOVE
Ou9        | Ŏ͘                   | U+014E U+0358                  | LATIN CAPITAL LETTER O WITH BREVE + COMBINING DOT ABOVE RIGHT
Ou9        | Ŏ͘                  | U+004F U+0306 U+0358           | LATIN CAPITAL LETTER O + COMBINING BREVE + COMBINING DOT ABOVE RIGHT
Ou9        | Ŏ͘                  | U+004F U+0358 U+0306           | LATIN CAPITAL LETTER O + COMBINING DOT ABOVE RIGHT + COMBINING BREVE
U          | U                    | U+0055                         | LATIN CAPITAL LETTER U
U2         | Ú                    | U+00DA                         | LATIN CAPITAL LETTER U WITH ACUTE
U2         | Ú                   | U+0055 U+0301                  | LATIN CAPITAL LETTER U + COMBINING ACUTE ACCENT
U3         | Ù                    | U+00D9                         | LATIN CAPITAL LETTER U WITH GRAVE
U3         | Ù                   | U+0055 U+0300                  | LATIN CAPITAL LETTER U + COMBINING GRAVE ACCENT
U5         | Û                    | U+00DB                         | LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U5         | Û                   | U+0055 U+0302                  | LATIN CAPITAL LETTER U + COMBINING CIRCUMFLEX ACCENT
U7         | Ū                    | U+016A                         | LATIN CAPITAL LETTER U WITH MACRON
U7         | Ū                   | U+0055 U+0304                  | LATIN CAPITAL LETTER U + COMBINING MACRON
U8         | U̍                   | U+0055 U+030D                  | LATIN CAPITAL LETTER U + COMBINING VERTICAL LINE ABOVE
U9         | Ŭ                    | U+016C                         | LATIN CAPITAL LETTER U WITH BREVE
U9         | Ŭ                   | U+0055 U+0306                  | LATIN CAPITAL LETTER U + COMBINING BREVE

====================================================================================================
## 6. KEYBOARD LAYOUT — kbdtwu.dll Input Method Mapping
====================================================================================================

### Tone Keys (Direct Input):
Key          | Output                                             | Description
-------------|----------------------------------------------------|-------------------------------
'            | U+0301 COMBINING ACUTE ACCENT ́                    | Tone 2 (rising)
`            | U+0300 COMBINING GRAVE ACCENT ̀                    | Tone 3 (low falling)
Shift+6      | U+0302 COMBINING CIRCUMFLEX ACCENT ̂               | Tone 5 (rising-falling)
=            | U+0304 COMBINING MACRON ̄                          | Tone 7 (mid level)
Shift+\      | U+030D COMBINING VERTICAL LINE ABOVE ̍             | Tone 8 (high checked)
Shift+9      | U+0306 COMBINING BREVE ̆                           | Tone 9

### Special Character Keys:
Key          | Output                                             | Description
-------------|----------------------------------------------------|-------------------------------
Q            | U+0358 COMBINING DOT ABOVE RIGHT ͘                 | o͘ (POJ nasal dot)
X            | U+207F SUPERSCRIPT LATIN SMALL N ⁿ                 | Nasalization marker
Z            | U+1E73/U+1E72 ṳ/Ṳ                                  | Hakka vowel (u with diaeresis below)
W            | U+00F6/U+00D6 ö/Ö                                  | Hakka vowel (o with diaeresis)
AltGr+A      | U+00E5/U+00C5 å/Å                                  | a with ring above
AltGr+D      | U+0111/U+0110 đ/Đ                                  | d with stroke (indigenous)
AltGr+I      | U+00EF/U+00CF ï/Ï                                  | i with diaeresis
AltGr+U      | U+016F/U+016E ů/Ů                                  | u with ring above
AltGr+N      | U+207F ⁿ                                           | Superscript n (nasalization)
AltGr+,      | U+201C " (left double quotation)                   | Smart quote left
AltGr+.      | U+201D " (right double quotation)                  | Smart quote right

====================================================================================================
## 7. FONTS INCLUDED
====================================================================================================

Font Name          | File       | Type     | Glyphs | Range
-------------------|------------|----------|--------|------
Taiwanese Serif    | tws21.ttf  | TrueType | 315    | Latin + POJ diacritics + PUA
Taiwanese Fixed    | twf21.ttf  | TrueType | 276    | Latin + POJ diacritics
EUDC Kaishu (楷書) | TWKHAI.TTE | EUDC     | 6219   | U+E000-U+F848 (Big5 FA40-FEFE)
EUDC Mingtai (明體)| TWBENG.TTE | EUDC     | 6219   | U+E000-U+F848 (Big5 FA40-FEFE)

====================================================================================================
## 8. PRIVATE USE AREA (PUA) Characters in Taiwanese Serif Font
====================================================================================================
Unicode    | GlyphID  | Note
-----------|----------|-----------------------------------------
U+E003     | 168      | TP-specific glyph (precomposed POJ character)
U+E004     | 169      | TP-specific glyph (precomposed POJ character)
U+E005     | 170      | TP-specific glyph (precomposed POJ character)
U+E006     | 171      | TP-specific glyph (precomposed POJ character)
U+E007     | 176      | TP-specific glyph (precomposed POJ character)
U+E008     | 177      | TP-specific glyph (precomposed POJ character)
U+E009     | 178      | TP-specific glyph (precomposed POJ character)
U+E00A     | 179      | TP-specific glyph (precomposed POJ character)
U+E00B     | 180      | TP-specific glyph (precomposed POJ character)
U+E00C     | 181      | TP-specific glyph (precomposed POJ character)
U+E00D     | 182      | TP-specific glyph (precomposed POJ character)
U+E00E     | 183      | TP-specific glyph (precomposed POJ character)
U+E00F     | 215      | TP-specific glyph (precomposed POJ character)
U+E010     | 216      | TP-specific glyph (precomposed POJ character)
U+E011     | 186      | TP-specific glyph (precomposed POJ character)
U+E012     | 187      | TP-specific glyph (precomposed POJ character)
U+E013     | 188      | TP-specific glyph (precomposed POJ character)
U+E014     | 189      | TP-specific glyph (precomposed POJ character)
U+E015     | 190      | TP-specific glyph (precomposed POJ character)
U+E016     | 191      | TP-specific glyph (precomposed POJ character)
U+E017     | 192      | TP-specific glyph (precomposed POJ character)
U+E018     | 193      | TP-specific glyph (precomposed POJ character)
U+E019     | 198      | TP-specific glyph (precomposed POJ character)
U+E01A     | 200      | TP-specific glyph (precomposed POJ character)
U+E01B     | 201      | TP-specific glyph (precomposed POJ character)
U+E01C     | 204      | TP-specific glyph (precomposed POJ character)
U+E01D     | 205      | TP-specific glyph (precomposed POJ character)
U+E01E     | 206      | TP-specific glyph (precomposed POJ character)
U+E01F     | 207      | TP-specific glyph (precomposed POJ character)
U+E020     | 208      | TP-specific glyph (precomposed POJ character)
U+E021     | 209      | TP-specific glyph (precomposed POJ character)
U+E022     | 210      | TP-specific glyph (precomposed POJ character)
U+E023     | 211      | TP-specific glyph (precomposed POJ character)
U+E024     | 218      | TP-specific glyph (precomposed POJ character)
U+E025     | 219      | TP-specific glyph (precomposed POJ character)
U+E027     | 220      | TP-specific glyph (precomposed POJ character)
U+E028     | 223      | TP-specific glyph (precomposed POJ character)
U+E029     | 217      | TP-specific glyph (precomposed POJ character)
U+E02A     | 224      | TP-specific glyph (precomposed POJ character)
U+E0D6     | 163      | TP-specific glyph (precomposed POJ character)
U+E0D7     | 164      | TP-specific glyph (precomposed POJ character)
